"msa","name_msa","fipstate","fipscty","name_county"
"45940","Trenton-Princeton, NJ ","34","021","Mercer County, New Jersey"
"46060","Tucson, AZ","04","019","Pima County, Arizona"
"46140","Tulsa, OK","40","145","Wagoner County, Oklahoma"
"46220","Tuscaloosa, AL","01","125","Tuscaloosa County, Alabama"
"46300","Twin Falls, ID","16","083","Twin Falls County, Idaho"
"46340","Tyler, TX","48","423","Smith County, Texas"
"46520","Urban Honolulu, HI","15","003","Honolulu County, Hawaii"
"46540","Utica-Rome, NY","36","065","Oneida County, New York"
"46660","Valdosta, GA","13","185","Lowndes County, Georgia"
"46700","Vallejo, CA","06","095","Solano County, California"
"47020","Victoria, TX","48","469","Victoria County, Texas"
"47220","Vineland-Bridgeton, NJ","34","011","Cumberland County, New Jersey"
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","51","830","Williamsburg city, Virginia"
"47300","Visalia, CA","06","107","Tulare County, California"
"47380","Waco, TX","48","309","McLennan County, Texas"
"47460","Walla Walla, WA","53","013","Columbia County, Washington"
"47580","Warner Robins, GA","13","235","Pulaski County, Georgia"
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","54","037","Jefferson County, West Virginia"
"47920","Washington Court House, OH Micro Area","39","047","Fayette County, Ohio"
"47940","Waterloo-Cedar Falls, IA","19","075","Grundy County, Iowa"
"48060","Watertown-Fort Drum, NY","36","045","Jefferson County, New York"
"48100","Wauchula, FL Micro Area","12","049","Hardee County, Florida"
"48140","Wausau-Weston, WI","55","073","Marathon County, Wisconsin"
"48260","Weirton-Steubenville, WV-OH","54","029","Hancock County, West Virginia"
"48300","Wenatchee, WA","53","007","Chelan County, Washington"
"48540","Wheeling, WV-OH","39","013","Belmont County, Ohio"
"48660","Wichita Falls, TX","48","485","Wichita County, Texas"
"48700","Williamsport, PA","42","081","Lycoming County, Pennsylvania"
"48900","Wilmington, NC","37","141","Pender County, North Carolina"
"49020","Winchester, VA-WV","54","027","Hampshire County, West Virginia"
"49180","Winston-Salem, NC","37","197","Yadkin County, North Carolina"
"49340","Worcester, MA-CT","09","015","Windham County, Connecticut"
"49420","Yakima, WA","53","077","Yakima County, Washington"
"49620","York-Hanover, PA","42","133","York County, Pennsylvania"
"49660","Youngstown-Warren-Boardman, OH-PA","42","085","Mercer County, Pennsylvania"
"49700","Yuba City, CA","06","115","Yuba County, California"
"49740","Yuma, AZ","04","027","Yuma County, Arizona"
